datetime,kWh,hourlybill,Price,Temperature
2015-01-01,50.191,1.5876744,3.138333333333333,2.4
2015-01-02,50.381,1.4913465,3.0812500000000003,0.7875
2015-01-03,49.435,1.5324322000000001,3.0087499999999996,-1.9458333333333335
2015-01-04,56.187,1.988744,3.5404166666666668,-7.7124999999999995
2015-01-05,63.515,3.2620207,5.1033333333333335,-17.3875
2015-01-06,76.195,3.0350975,4.034166666666667,-17.599999999999998
2015-01-07,61.307,2.4092449,4.086250000000001,-3.216666666666667
2015-01-08,48.042,1.766845,3.715,-0.1708333333333333
2015-01-09,49.896,2.0519984,4.115833333333334,-3.6916666666666664
2015-01-10,72.527,2.5804669000000002,3.56375,-11.866666666666667
2015-01-11,54.572,1.8461277,3.3629166666666666,-14.3375
2015-01-12,69.544,4.3162317,6.240833333333334,-18.754166666666666
2015-01-13,66.744,3.773618,5.972083333333333,-12.933333333333332
2015-01-14,72.555,3.0133036,4.233333333333333,-8.529166666666667
2015-01-15,58.723,2.5462263000000003,4.40625,-3.9791666666666665
2015-01-16,50.885,2.0450759,4.1066666666666665,-0.33749999999999997
2015-01-17,38.643,1.3650666,3.546666666666667,0.7541666666666668
2015-01-18,47.646,1.6572536,3.48875,-1.8541666666666667
2015-01-19,62.359,2.8289313,4.760416666666667,-11.779166666666667
2015-01-20,74.657,3.3810746000000003,4.54,-17.795833333333334
2015-01-21,48.237,2.4018601,5.036666666666666,-12.245833333333332
2015-01-22,71.691,3.6252276,5.153333333333333,-19.183333333333334
2015-01-23,76.04599999999999,3.9660333,5.03,-19.579166666666666
2015-01-24,78.853,2.8398403,3.605,-10.629166666666666
2015-01-25,54.396,1.9390848,3.5683333333333334,-0.75
2015-01-26,60.179,2.6740832,4.6987499999999995,-1.1375
2015-01-27,55.89,2.6053415,5.16125,-0.8166666666666668
2015-01-28,68.28399999999999,2.7810163,4.0424999999999995,-0.7291666666666666
2015-01-29,48.738,1.9306988999999999,3.9491666666666667,0.125
2015-01-30,60.598,2.4853406,4.166666666666667,-1.1333333333333333
2015-01-31,66.95,2.3348115,3.48375,-3.5625
2015-02-01,73.728,2.5335151,3.4379166666666667,-4.5375000000000005
2015-02-02,79.509,3.4824227999999997,4.316666666666666,-9.329166666666667
2015-02-03,78.69500000000001,3.6182521,4.734166666666667,-8.991666666666667
2015-02-04,70.517,3.5891609,5.287916666666667,-8.579166666666667
2015-02-05,61.963,2.917447,4.732916666666667,-5.070833333333334
2015-02-06,64.471,2.6053699,4.1125,-2.2291666666666665
2015-02-07,49.876,1.6907912,3.365,-0.04583333333333333
2015-02-08,59.275999999999996,2.0446475,3.401666666666667,-7.7250000000000005
2015-02-09,65.109,3.0391365,4.933333333333334,-6.266666666666667
2015-02-10,55.237,2.220547,4.13375,3.8958333333333335
2015-02-11,55.79,2.2799349,4.230833333333334,3.8791666666666664
2015-02-12,53.688,2.6035292,4.714166666666666,2.2624999999999997
2015-02-13,62.309,3.3646388,5.51125,-2.433333333333333
2015-02-14,70.933,2.8034892,3.8745833333333337,-5.870833333333334
2015-02-15,74.405,2.6862765000000004,3.56875,-14.916666666666666
2015-02-16,66.761,3.0246737,4.604166666666667,-5.066666666666666
2015-02-17,60.093,2.6982972000000003,4.732083333333334,-1.2125000000000001
2015-02-18,60.82,2.5877587,4.557083333333334,-0.9791666666666666
2015-02-19,54.836,2.2825828,4.25875,1.7166666666666668
2015-02-20,55.078,2.0981706,4.017083333333333,2.254166666666667
2015-02-21,52.306,1.7780913,3.374166666666667,0.7875
2015-02-22,61.759,1.9922682,3.237083333333333,0.35000000000000003
2015-02-23,63.528,2.1456364,3.4375,-1.0
2015-02-24,59.628,2.4010462,4.160416666666666,0.7125
2015-02-25,61.332,2.2717822,3.7870833333333334,1.5416666666666667
2015-02-26,66.538,2.3473381,3.6520833333333336,1.9625000000000001
2015-02-27,63.966,2.3065613000000003,3.8320833333333333,0.7625000000000001
2015-02-28,62.388,1.9981776,3.2095833333333332,0.7708333333333334
2015-03-01,77.293,2.1268164,2.77,1.4749999999999999
2015-03-02,51.121,1.8455765,3.69875,1.625
2015-03-03,51.887,2.0052348,4.05,1.3666666666666665
